hour,weekday_name,distance_to_next_m,time_gap_hours
17,Saturday,0.0,2.404166666666667
15,Wednesday,0.0,2.381111111111111
16,Thursday,0.0,15.602777777777778
10,Friday,0.0,1.3483333333333334
17,Monday,0.0,1.1655555555555555
18,Thursday,0.0,14.151111111111112
8,Friday,0.0,1.6394444444444445
10,Friday,0.0,4.599722222222222
8,Monday,0.0,1.4066666666666667
16,Monday,0.0,15.637777777777778
11,Tuesday,0.0,1.3402777777777777
16,Tuesday,0.0,15.830277777777777
11,Wednesday,0.0,1.3475
12,Wednesday,0.0,1.0255555555555556
14,Wednesday,0.0,1.3958333333333333
16,Wednesday,0.0,15.713055555555556
18,Friday,0.0,21.554166666666667
16,Saturday,0.0,26.17527777777778
14,Tuesday,0.0,1.4155555555555555
14,Wednesday,0.0,1.2652777777777777
16,Tuesday,0.0,15.498055555555556
9,Wednesday,0.0,1.1636111111111112
11,Thursday,0.0,1.0291666666666666
8,Wednesday,0.0,1.0125
16,Wednesday,0.0,15.597222222222221
13,Friday,0.0,1.0822222222222222
11,Saturday,0.0,31.045555555555556
16,Monday,0.0,15.551944444444445
13,Wednesday,0.0,1.2602777777777778
16,Wednesday,0.0,15.89611111111111
14,Monday,0.0,1.4388888888888889
9,Tuesday,0.0,1.4347222222222222
12,Tuesday,0.0,1.5405555555555555
11,Wednesday,0.0,1.1194444444444445
16,Wednesday,0.0,15.835
14,Thursday,0.0,1.2772222222222223
12,Saturday,0.0,2.178611111111111
9,Tuesday,0.0,1.0122222222222221
16,Tuesday,0.0,15.360277777777778
11,Wednesday,0.0,1.2027777777777777
12,Friday,0.0,1.0416666666666667
20,Friday,0.0,15.105833333333333
11,Saturday,0.0,5.296388888888889
14,Thursday,0.0,4.966666666666667
13,Friday,0.0,5.068333333333333
15,Monday,0.0,1.0058333333333334
9,Tuesday,0.0,1.028888888888889
14,Wednesday,0.0,1.0341666666666667
14,Friday,0.0,1.0333333333333334
15,Friday,0.0,64.98777777777778
11,Monday,0.0,1.49
10,Thursday,0.0,3.414722222222222
16,Tuesday,0.0,16.253888888888888
14,Thursday,0.0,1.1244444444444444
12,Friday,0.0,1.2313888888888889
11,Monday,0.0,1.3433333333333333
16,Monday,0.0,15.710555555555555
8,Wednesday,0.0,1.5252777777777777
11,Sunday,0.0,23.1325
9,Tuesday,0.0,1.1491666666666667
11,Wednesday,0.0,1.9405555555555556
11,Thursday,0.0,1.273611111111111
12,Thursday,0.0,8.373333333333333
23,Thursday,0.0,2.036388888888889
1,Friday,0.0,34.320277777777775
12,Monday,0.0,1.433888888888889
14,Monday,0.0,1.2319444444444445
14,Tuesday,0.0,1.1944444444444444
16,Tuesday,0.0,16.21361111111111
12,Wednesday,0.0,1.6233333333333333
15,Wednesday,0.0,17.075833333333332
10,Thursday,0.0,1.0338888888888889
13,Friday,0.0,1.2652777777777777
11,Monday,0.0,1.1641666666666666
14,Tuesday,0.0,1.736388888888889
10,Wednesday,0.0,1.3508333333333333
16,Wednesday,0.0,15.571388888888889
13,Thursday,0.0,1.8283333333333334
16,Thursday,0.0,15.973055555555556
9,Friday,0.0,1.1494444444444445
10,Friday,0.0,1.0841666666666667
11,Monday,0.0,3.6663888888888887
17,Monday,0.0,16.363611111111112
9,Tuesday,0.0,2.498611111111111
8,Friday,0.0,1.0394444444444444
10,Friday,0.0,2.6294444444444443
12,Friday,0.0,1.4216666666666666
9,Friday,0.0,5.397777777777778
16,Monday,0.0,16.219444444444445
9,Tuesday,0.0,2.2316666666666665
15,Tuesday,0.0,2.753888888888889
14,Thursday,0.0,25.33
15,Friday,0.0,2.1369444444444445
18,Friday,0.0,44.574444444444445
12,Monday,0.0,1.9958333333333333
10,Tuesday,0.0,1.103888888888889
12,Tuesday,0.0,1.3119444444444444
14,Tuesday,0.0,1.0977777777777777
8,Wednesday,0.0,1.011388888888889
12,Wednesday,0.0,1.3
15,Wednesday,0.0,1.5152777777777777
17,Wednesday,0.0,15.569722222222222
10,Thursday,0.0,1.0269444444444444
15,Thursday,0.0,16.210277777777776
16,Monday,0.0,15.553888888888888
10,Tuesday,0.0,1.795
13,Tuesday,0.0,1.208888888888889
15,Tuesday,0.0,1.1105555555555555
16,Tuesday,0.0,14.983333333333333
8,Wednesday,0.0,1.4072222222222222
15,Wednesday,0.0,1.2491666666666668
11,Friday,0.0,1.7327777777777778
14,Friday,0.0,65.74027777777778
9,Monday,0.0,3.0661111111111112
