date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2013-08-05,Monday,42,26049.11162751141,8.821751696372925,0,26.04911162751141
2013-08-06,Tuesday,58,23897.363368442406,5.3489712219349625,0,23.897363368442406
2013-08-07,Wednesday,55,23097.318313606273,5.990532076259567,0,23.097318313606273
2013-08-08,Thursday,8,60450.30802193548,20.765400824601652,0,60.450308021935484
2013-08-10,Saturday,1,16372.233476224312,0.34682853074265935,0,16.372233476224313
2013-08-12,Monday,38,21776.475227881194,12.638631209174028,1,21.776475227881193
2013-08-13,Tuesday,28,10711.74756995727,6.484584284612416,2,10.71174756995727
2013-08-14,Wednesday,31,28052.583486638254,3.573911415589821,0,28.052583486638255
2013-08-15,Thursday,39,61091.57261059833,5.442354124651649,0,61.09157261059833
2013-08-16,Friday,40,75152.79625290133,11.87620913216763,1,75.15279625290133
2013-08-17,Saturday,3,27059.827586296284,0.613195979672468,1,27.059827586296283
2013-08-18,Sunday,4,46605.48104172542,2.115176088179507,0,46.60548104172542
2013-08-19,Monday,34,50821.30118494351,8.799169693813312,2,50.821301184943515
2013-08-21,Wednesday,27,13007.122049233827,5.782324011088991,1,13.007122049233827
2013-08-22,Thursday,26,14459.377779691964,4.031753466763667,0,14.459377779691964
2013-08-23,Friday,19,62136.13277307675,6.033165124792568,0,62.13613277307675
2013-08-25,Sunday,1,20297.45769794967,0.9724627057841204,0,20.29745769794967
2013-08-26,Monday,47,19128.120660637982,14.318292093872952,2,19.128120660637983
2013-08-27,Tuesday,32,38007.02108021908,7.188963015500956,0,38.007021080219076
2013-08-28,Wednesday,43,24959.129399612684,4.316853735430682,1,24.959129399612685
2013-08-29,Thursday,8,37888.96687294756,7.632737648053739,1,37.88896687294756
2013-08-30,Friday,38,31787.65067823744,5.347957408693827,0,31.78765067823744
2013-09-01,Sunday,1,19545.653455429136,1.2932721739366433,0,19.545653455429136
2013-09-02,Monday,27,10711.74756995727,5.75500891339978,2,10.71174756995727
2013-09-03,Tuesday,36,10711.74756995727,4.366579158162349,2,10.71174756995727
2013-09-04,Wednesday,31,9181.497917106231,3.6219523877798165,0,9.181497917106231
2013-09-05,Thursday,38,10711.74756995727,3.6374578975899166,1,10.71174756995727
2013-09-06,Friday,39,12241.997222808308,10.799917270156694,2,12.241997222808308
2013-09-09,Monday,30,6886.123437829673,6.343678613200001,1,6.886123437829673
2013-09-10,Tuesday,43,10711.74756995727,5.439658453946375,0,10.71174756995727
2013-09-11,Wednesday,46,21617.685859048932,5.580784640801935,0,21.617685859048933
2013-09-12,Thursday,50,18362.995834212463,7.752293292048721,1,18.362995834212462
2013-09-13,Friday,33,13772.246875659346,5.0110370380534,0,13.772246875659347
2013-09-14,Saturday,3,19545.653455429136,1.2880167021699596,1,19.545653455429136
2013-09-15,Sunday,3,20297.45769794967,0.5021533705296279,1,20.29745769794967
2013-09-16,Monday,39,55897.411924409724,5.482879714627324,1,55.897411924409724
2013-09-17,Tuesday,27,74162.40828341678,9.38039968325386,1,74.16240828341678
2013-09-18,Wednesday,37,33317.90033108848,9.282740232833058,0,33.31790033108848
2013-09-19,Thursday,31,29478.9556150559,4.076010422448819,0,29.4789556150559
2013-09-20,Friday,22,9946.62274353175,4.830391906109204,1,9.946622743531751
2013-09-23,Monday,35,19893.2454870635,10.80713762034597,0,19.893245487063503
2013-09-24,Tuesday,24,12532.281166400462,3.9804664746833613,1,12.532281166400463
2013-09-25,Wednesday,26,7651.248264255192,4.6640313668161975,0,7.651248264255193
2013-09-26,Thursday,23,17352.479743053453,8.71046858416151,0,17.352479743053454
2013-09-27,Friday,31,28233.59179153252,3.02487632725441,0,28.23359179153252
2013-09-28,Saturday,1,19052.093874426286,0.4903978803807683,0,19.052093874426287
2013-09-30,Monday,42,13007.122049233827,2.2622601498592125,1,13.007122049233827
2013-10-01,Tuesday,35,16067.621354935904,9.047885358668434,0,16.067621354935902
2013-10-02,Wednesday,31,12241.997222808308,3.300794050047512,1,12.241997222808308
2013-10-03,Thursday,38,50681.609557301585,11.763451429886047,0,50.681609557301584
2013-10-04,Friday,21,24136.40241398225,2.9913151106141966,2,24.13640241398225
2013-10-05,Saturday,1,19545.653455429136,0.4842561281144696,0,19.545653455429136
2013-10-07,Monday,29,10711.74756995727,6.74780818246088,3,10.71174756995727
2013-10-08,Tuesday,22,6886.123437829673,2.866394685425838,0,6.886123437829673
2013-10-09,Wednesday,45,16067.621354935904,8.234836310744843,1,16.067621354935902
2013-10-10,Thursday,34,46742.55517511346,5.7042462958729026,0,46.74255517511346
2013-10-11,Friday,33,18100.78692268436,4.839885481553253,1,18.10078692268436
2013-10-14,Monday,61,22953.744792765578,9.630824640859586,0,22.953744792765576
2013-10-15,Tuesday,32,14498.374740888414,13.1928914238138,0,14.498374740888414
2013-10-16,Wednesday,34,49789.733896910555,4.5930318484102886,1,49.789733896910555
2013-10-17,Thursday,24,24803.365090617808,10.199622604873415,0,24.80336509061781
2013-10-18,Friday,31,21236.66780391519,7.970879188105228,2,21.23666780391519
2013-10-19,Saturday,5,27518.232590986998,1.3703181423113266,1,27.518232590986997
2013-10-21,Monday,38,14537.371702084865,9.806656614867155,2,14.537371702084865
2013-10-22,Tuesday,40,52098.4289600921,4.315475446171453,1,52.09842896009209
2013-10-23,Wednesday,24,51319.98354976159,6.338479423223439,0,51.319983549761595
2013-10-24,Thursday,29,10711.74756995727,3.8879806911298154,1,10.71174756995727
2013-10-25,Friday,36,50432.08427101576,7.724396307264955,1,50.43208427101576
2013-10-26,Saturday,1,2986.867255168867,0.06448911830372336,0,2.986867255168867
2013-10-28,Monday,32,9946.62274353175,2.3147411927367285,2,9.946622743531751
2013-10-29,Tuesday,23,51070.86840124205,6.141283511549858,1,51.07086840124205
2013-10-30,Wednesday,30,10711.74756995727,3.744590702248806,1,10.71174756995727
2013-10-31,Thursday,45,40906.77852105896,7.819437085336936,0,40.90677852105896
2013-11-01,Friday,38,30818.445467440557,4.156932944264858,0,30.818445467440558
2013-11-02,Saturday,7,134824.18760175572,12.990608717408634,0,134.8241876017557
2013-11-04,Monday,33,7651.248264255192,8.761222259565972,1,7.651248264255193
2013-11-05,Tuesday,34,48272.8048279645,4.532753281111677,1,48.2728048279645
2013-11-06,Wednesday,39,11476.872396382789,2.4357207897647535,1,11.476872396382788
2013-11-07,Thursday,40,14595.713686460407,2.1539869466327914,0,14.595713686460407
2013-11-08,Friday,42,31348.990825316225,4.375590206730205,0,31.348990825316225
2013-11-09,Saturday,1,20297.45769794967,0.5436738122395413,0,20.29745769794967
2013-11-11,Monday,36,6120.998611404154,2.221683006810415,2,6.120998611404154
2013-11-12,Tuesday,34,17224.097578869834,3.937644272094935,2,17.224097578869834
2013-11-13,Wednesday,42,12241.997222808308,5.425441949304605,1,12.241997222808308
2013-11-14,Thursday,18,6216.762919545055,5.572878333892375,1,6.216762919545055
2013-11-15,Friday,25,33997.1450986658,4.868473842034584,0,33.997145098665804
2013-11-16,Saturday,1,20297.45769794967,0.5465202294103216,0,20.29745769794967
2013-11-18,Monday,32,26555.072920800383,6.017633947141763,0,26.555072920800384
2013-11-19,Tuesday,34,10711.74756995727,7.015507146066569,1,10.71174756995727
2013-11-20,Wednesday,25,4590.748958553116,1.1663671893902945,3,4.590748958553116
2013-11-21,Thursday,39,10711.74756995727,5.401505075979571,1,10.71174756995727
2013-11-22,Friday,23,23357.957003651747,3.2416653338191614,1,23.357957003651748
2013-11-23,Saturday,1,20297.45769794967,0.5361817413605725,0,20.29745769794967
2013-11-25,Monday,19,6120.998611404154,4.541391147414478,0,6.120998611404154
2013-11-26,Tuesday,34,17313.682999275752,6.999730471850434,0,17.313682999275752
2013-11-27,Wednesday,30,7651.248264255192,4.539125358685694,3,7.651248264255193
2013-11-28,Thursday,25,16743.347441893315,6.380621997730133,0,16.743347441893313
2013-11-29,Friday,19,14219.440356968464,2.4746056562582295,2,14.219440356968464
2013-12-02,Monday,25,9181.497917106231,5.355709558277144,1,9.181497917106231
2013-12-03,Tuesday,18,4590.748958553116,3.5469230702108083,3,4.590748958553116
2013-12-04,Wednesday,26,7651.248264255192,8.462675956712719,2,7.651248264255193
2013-12-05,Thursday,28,9181.497917106231,4.407650006514655,0,9.181497917106231
2013-12-06,Friday,19,9946.62274353175,3.9316570589728825,1,9.946622743531751
2013-12-09,Monday,24,35981.170133309184,4.876763948566414,1,35.981170133309185
2013-12-10,Tuesday,49,22828.923842034867,8.610024267142165,0,22.828923842034868
2013-12-11,Wednesday,40,25962.95000395238,7.33679970044751,1,25.962950003952383
2013-12-12,Thursday,25,6886.123437829673,6.33312027373056,2,6.886123437829673
2013-12-13,Friday,24,10898.165810478065,2.0667688767398453,0,10.898165810478066
2013-12-16,Monday,21,6120.998611404154,4.147652274928295,2,6.120998611404154
2013-12-17,Tuesday,10,5355.873784978635,2.2768824021787877,0,5.355873784978635
2013-12-18,Wednesday,35,13007.122049233827,6.963594443937928,1,13.007122049233827
2013-12-19,Thursday,24,37791.378329719286,11.240416328012946,2,37.79137832971929
2013-12-20,Friday,17,14715.59663026602,2.8185697191758106,0,14.71559663026602
2013-12-21,Saturday,9,26241.47236681619,6.254184654967343,0,26.24147236681619
2013-12-22,Sunday,3,19545.653455429136,0.2826797168538556,0,19.545653455429136
2013-12-23,Monday,3,19545.653455429136,2.903898000063757,1,19.545653455429136
2013-12-24,Tuesday,1,19545.653455429136,0.31397379150121096,0,19.545653455429136
2013-12-27,Friday,12,4590.748958553116,0.6901170347741427,1,4.590748958553116
2013-12-30,Monday,8,5451.638093119536,1.5821012008553654,1,5.451638093119536
2013-12-31,Tuesday,13,6120.998611404154,3.774206170541628,0,6.120998611404154
2014-01-02,Thursday,23,9575.012252750408,9.69198523452155,3,9.575012252750408
2014-01-03,Friday,31,35599.95422646005,8.794960643950992,0,35.599954226460056
2014-01-04,Saturday,1,20297.45769794967,0.47918452169072606,0,20.29745769794967
2014-01-06,Monday,42,17597.871007786944,10.67397545362993,0,17.597871007786942
2014-01-07,Tuesday,23,6886.123437829673,6.597133242941206,2,6.886123437829673
2014-01-08,Wednesday,27,15050.226566089805,10.32193705143869,1,15.050226566089805
2014-01-09,Thursday,23,48009.265459641,8.14187634985648,1,48.009265459641
2014-01-10,Friday,15,29608.759960872027,1.6422584347208924,0,29.608759960872028
2014-01-11,Saturday,2,11104.879287948412,0.2694813982919736,1,11.104879287948412
2014-01-12,Sunday,1,9622.298322133933,0.5360694835834996,0,9.622298322133933
2014-01-13,Monday,20,7651.248264255192,8.95166899573888,1,7.651248264255193
2014-01-14,Tuesday,39,20694.969172576024,6.29156006493773,1,20.694969172576023
2014-01-15,Wednesday,20,12368.519085412161,6.6271023182432485,1,12.368519085412162
2014-01-16,Thursday,18,6120.998611404154,11.532869743580868,2,6.120998611404154
2014-01-17,Friday,15,24404.77323386336,3.2704409126367437,1,24.404773233863363
2014-01-18,Saturday,1,19052.093874426286,0.46517055700347676,0,19.052093874426287
2014-01-20,Monday,21,11476.872396382789,10.835210854499364,1,11.476872396382788
2014-01-21,Tuesday,22,12436.187941942702,2.484614910119748,2,12.436187941942702
2014-01-22,Wednesday,16,37728.77948980054,5.666065204484309,0,37.72877948980054
2014-01-23,Thursday,25,25925.212296975405,11.766174722960498,4,25.925212296975406
2014-01-24,Friday,12,4590.748958553116,3.4439283216742265,3,4.590748958553116
2014-01-27,Monday,20,8416.373090680712,6.274492347098154,1,8.416373090680713
2014-01-28,Tuesday,21,8416.373090680712,9.629220914588283,3,8.416373090680713
2014-01-29,Wednesday,26,10711.74756995727,13.33693687032693,2,10.71174756995727
2014-01-30,Thursday,13,42916.93104298587,2.055067297738537,2,42.916931042985865
2014-01-31,Friday,24,28727.151372535365,15.115515706232577,1,28.727151372535364
2014-02-02,Sunday,1,20297.45769794967,1.1328637961057786,0,20.29745769794967
2014-02-03,Monday,25,12241.997222808308,11.083622237453875,1,12.241997222808308
2014-02-04,Tuesday,15,6886.123437829673,4.0134379906658575,0,6.886123437829673
2014-02-05,Wednesday,25,10711.74756995727,4.4193912474650405,1,10.71174756995727
2014-02-06,Thursday,7,765.1248264255192,0.2329738116494857,4,0.7651248264255193
2014-02-07,Friday,15,24888.206656502785,1.0637893465518489,1,24.888206656502785
2014-02-09,Sunday,2,19584.850780512457,1.4238294795893272,0,19.584850780512458
2014-02-10,Monday,20,765.1248264255192,1.765672676366583,3,0.7651248264255193
2014-02-11,Tuesday,14,3060.499305702077,5.844664384728634,3,3.060499305702077
2014-02-12,Wednesday,28,16339.441946875204,5.155657033745702,1,16.339441946875205
2014-02-13,Thursday,15,4590.748958553116,3.7557986166783595,5,4.590748958553116
2014-02-14,Friday,25,6886.123437829673,4.6875815115372035,2,6.886123437829673
2014-02-17,Monday,38,51420.76949599381,6.538387133817821,1,51.42076949599381
2014-02-18,Tuesday,15,48246.16366015453,5.055424815154851,1,48.24616366015453
2014-02-19,Wednesday,26,9946.62274353175,2.5640727427140226,0,9.946622743531751
2014-02-20,Thursday,24,44420.53952802694,1.459791462961963,1,44.420539528026936
2014-02-21,Friday,22,26431.776893258808,5.481722892203631,0,26.431776893258807
2014-02-22,Saturday,1,20297.45769794967,0.27738346086656673,0,20.29745769794967
2014-02-25,Tuesday,25,9181.497917106231,7.950634595509322,1,9.181497917106231
2014-02-26,Wednesday,21,18531.705244240064,6.693843262294566,2,18.531705244240065
2014-02-27,Thursday,18,4590.748958553116,4.137348704418104,3,4.590748958553116
2014-02-28,Friday,14,24888.206656502785,1.817995268404399,1,24.888206656502785
2014-03-01,Saturday,1,20297.45769794967,0.5172937624781873,0,20.29745769794967
2014-03-03,Monday,25,45640.90222392833,9.935056062321877,0,45.64090222392833
2014-03-04,Tuesday,28,9579.98697654911,3.690178554498621,0,9.57998697654911
2014-03-05,Wednesday,33,49024.609070485036,2.161985188317157,2,49.024609070485035
2014-03-06,Thursday,21,35861.03378708599,3.9233896752303976,0,35.86103378708599
